xenobiotics_metabolism	oxidative_stress	xenobiotics_transporter
TRAF3IP2	TES	
TRPA1	TGFB3	
TSPO	TGFBI	
TXN2	TGM2	
TXNIP	TIPARP	
TXNRD2	TKTL1	
TYMS	TMEM45A	
UBE2B	TPBG	
UMOD	TPD52	
USP47	TPI1	
VAV3	TPST2	
VEGFC	UGP2	
XPC	VEGFA	
XRCC1	VHL	
XRCC5	VLDLR	
ADH4	WSB1	
ADH5	XPNPEP1	
AKR1A1	ZFP36	
AKR1B10	ZNF292	
ALDH1A1	ADAM9	
ESD	APOD	
PARK7	APOE	
RDH11	AREG	
RDH12	BAK1	
COMT	C12orf29	
DBH	CAPN2	
MAOA	CASP3	
MOXD1	COL1A1	
MOXD2P	CRK	
AKR1C2	FKBP1B	
HSD11B1	FOSL1	
AKR1C3	HBA1	
AKR1C4	HBA2	
AGTR2	HBB	
AKT1	HYAL1	
APOE	HYAL2	
ATP7A	IL1A	
CYP27B1	KCNA5	
DHFR	MT-ND5	
DHFRP1	MT-ND6	
FCER2	NUDT15	
FGF23	PLK3	
GCH1	PPP1R15B	
GDNF	PPP2CB	
HIF1A	PTK2B	
IFNG	PTPRN	
INS	S100A7	
NOS1AP	SCGB1A1	
NPR3	SDC1	
NUS1	STAT1	
PIK3CB	STK24	
S100A1	STK26	
SCARB1	TACR1	
TERF2	TXNIP	
TERT		
VDR		
ADH1A		
ADH1B		
ADH1C		
ADH6		
ADH7		
ALDH1A3		
ALDH3B1		
ALDH3B2		
CYP3A43		
GSTK1		
GSTM5		
GSTT1		
GSTT2		
GSTZ1		
MGST1		
MGST2		
MGST3		
UGT1A4		
UGT1A5		
UGT2A1		
UGT2A3		
UGT2B10		
UGT2B4		
ABCD2		
ABHD6		
ACO2		
ACOX1		
ACOX2		
ACOX3		
ACP1		
ACP2		
AHCY		
ALAS1		
ALDH2		
ALDH9A1		
ANGPTL3		
AP4B1		
AQP9		
ARG1		
ARG2		
ARPP19		
ASL		
ATOH8		
ATP2A2		
BCAR1		
BCAT1		
BLVRB		
CA2		
CASP6		
CCL25		
CD36		
CDA		
CDO1		
CES1		
CFB		
CNDP2		
CROT		
CRP		
CSAD		
CYB5A		
CYFIP2		
CYP17A1		
CYP27A1		
DCXR		
DDAH2		
DDC		
DDT		
DHPS		
DHRS1		
DHRS7		
ECH1		
ELOVL5		
ENPEP		
ENTPD5		
EPHA2		
ESR1		
ETFDH		
ETS2		
F10		
F11		
FABP1		
FAH		
FAS		
FBLN1		
FETUB		
FMO3		
G6PC1		
GABARAPL1		
GAD1		
GART		
GCKR		
GCNT2		
GNMT		
GSR		
GSS		
HACL1		
HES6		
HGFAC		
HMOX1		
HPRT1		
HRG		
HSD17B2		
ID2		
IDH1		
IGF1		
IGFBP1		
IGFBP4		
IL1R1		
IRF8		
ITIH1		
ITIH4		
JUP		
KARS1		
KYNU		
LCAT		
LEAP2		
LONP1		
LPIN2		
MAN1A1		
MARCHF6		
MBL2		
MCCC2		
MPP2		
MT2A		
MTHFD1		
NDRG2		
NFS1		
NINJ1		
NMT1		
PAPSS2		
PC		
PDK4		
PDLIM5		
PEMT		
PGD		
PGRMC1		
PINK1		
PLG		
PMM1		
PPARD		
PROS1		
PSMB10		
PTGDS		
PTGES		
PTGES3		
PTGR1		
PTS		
PYCR1		
RAP1GAP		
RBP4		
REG1A		
RETSAT		
SAR1B		
SERPINA6		
SERPINE1		
SERTAD1		
SHMT2		
SLC12A4		
SLC1A5		
SLC35B1		
SLC35D1		
SLC46A3		
SLC6A12		
SLC6A6		
SPINT2		
SSR3		
TAT		
TDO2		
TGFB2		
TKFC		
TMBIM6		
TMEM176B		
TMEM97		
TNFRSF1A		
TPST1		
TTPA		
TYR		
UGDH		
UPB1		
UPP1		
VNN1		
VTN		
XDH		
AGMAT		
AMD1		
AZIN1		
AZIN2		
OAZ1		
OAZ2		
OAZ3		
ODC1		
PAOX		
PSMA1		
PSMA2		
PSMA3		
PSMA4		
PSMA5		
PSMA6		
PSMA7		
PSMA8		
PSMB1		
PSMB11		
PSMB2		
PSMB3		
PSMB4		
PSMB5		
PSMB6		
PSMB7		
PSMB8		
PSMB9		
PSMC1		
PSMC2		
PSMC3		
PSMC4		
PSMC5		
PSMC6		
PSMD1		
PSMD10		
PSMD11		
PSMD12		
PSMD13		
PSMD14		
PSMD2		
PSMD3		
PSMD4		
PSMD5		
PSMD6		
PSMD7		
PSMD8		
PSMD9		
PSME1		
PSME2		
PSME3		
PSME4		
PSMF1		
SAT1		
SEM1		
SMS		
SRM		
AADAT		
AFMID		
ALDH8A1		
CYP4B1		
EPHX2		
GOT2		
HAAO		
IDO1		
IDO2		
KMO		
KYAT1		
KYAT3		
ARNT		
ARNT2		
EPHX3		
EPHX4		
